Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
250;35;250;199
250;41;250;178
200;19;250;185
0;42;250;140
250;21;250;233
250;15;250;212
0;46;250;186
250;42;250;218
0;60;250;237
0;39;250;211
0;104;149;229
0;62;250;226
250;28;250;196
0;44;250;228
100;142;109;226
250;37;250;220
0;40;250;195
0;42;250;196
250;43;250;209
250;4;250;228
200;57;250;229
0;45;250;196
0;43;212;235
100;32;250;144
100;32;250;212
100;32;250;210
0;48;250;223
0;48;250;203
