Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;250;92;122;235;15;214;197;171
150;250;52;179;16;16;250;134;99
200;183;151;163;71;79;133;236;96
200;250;17;191;70;53;125;206;123
200;108;117;208;86;47;151;225;81
200;250;34;212;86;49;170;235;113
50;103;250;159;147;64;138;196;231
200;6;142;238;153;108;74;230;123
200;250;45;209;53;38;121;219;115
150;242;52;210;50;24;174;216;104
100;250;24;223;154;5;171;240;128
50;250;146;74;23;16;250;220;55
50;47;222;141;35;18;250;133;31
150;8;163;102;189;26;250;236;197
200;250;124;208;195;52;161;240;177
200;147;58;219;21;20;234;209;98
200;22;143;235;157;57;74;227;126
0;0;192;226;91;210;70;228;105
100;250;152;121;165;23;250;241;179
150;3;163;106;237;12;250;231;197
150;219;81;191;237;18;250;230;165
100;42;212;87;241;12;250;229;221
200;250;190;53;15;14;250;219;31
200;250;17;155;24;8;250;158;117
200;250;13;157;25;8;250;159;119
100;250;9;159;28;8;250;160;121
50;131;197;131;43;14;250;155;41
100;67;129;215;155;34;241;240;163
200;11;132;165;246;18;209;232;190
150;233;86;188;6;15;250;194;84
50;250;92;169;74;38;200;227;113
200;250;24;211;146;13;250;221;122
