Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
50;144;140;73;179;124;250;22;174
150;97;212;68;29;58;250;85;36
150;250;138;141;6;50;250;85;69
200;147;29;22;93;83;250;34;117
150;11;118;11;73;72;250;21;93
100;8;225;15;137;73;250;26;154
200;75;153;71;161;88;250;13;162
100;189;65;61;52;74;250;21;104
200;89;92;39;133;80;250;69;124
50;172;250;250;240;250;57;15;250
50;6;159;43;97;77;250;32;93
150;128;65;40;56;75;250;97;103
50;0;219;71;65;114;250;33;38
200;33;140;25;139;75;250;30;132
150;94;108;90;140;78;250;30;142
200;50;105;23;164;68;250;34;142
150;58;107;44;157;77;250;38;148
150;250;42;73;126;130;238;17;130
150;158;138;94;134;83;250;17;141
150;250;87;83;110;54;250;21;109
200;250;38;31;233;212;149;81;143
200;250;16;43;219;184;154;64;132
100;250;116;121;33;78;250;24;81
150;8;101;21;157;5;250;34;137
100;0;227;32;137;73;250;15;156
150;64;138;69;115;84;250;7;119
100;250;83;81;67;65;250;36;91
50;156;57;40;86;73;250;43;115
150;250;10;20;184;78;250;15;129
150;0;213;75;94;72;250;34;92
50;14;176;40;143;50;250;36;145
100;228;152;82;167;49;250;14;173
150;133;117;81;19;95;250;24;74
