Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;250;18;39;115;203;151;15;126
200;92;236;206;58;110;250;27;14
150;250;16;171;56;108;250;185;117
100;94;42;33;148;69;250;30;125
100;47;95;21;130;50;250;30;125
50;3;199;142;58;98;250;19;34
50;208;174;141;140;231;129;15;170
50;250;113;151;239;34;61;24;136
100;8;244;31;132;72;250;34;153
50;19;250;250;233;250;58;16;250
50;142;250;117;233;250;59;14;250
0;22;163;81;229;250;55;138;205
50;8;212;127;56;96;250;25;29
0;28;250;58;35;90;250;26;0
50;22;250;123;237;250;65;15;250
100;103;250;129;233;250;55;15;250
150;203;80;41;9;176;175;61;87
150;0;244;152;51;107;250;23;12
150;250;24;46;199;145;208;52;136
