Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
100;61;160;22;201;250;70;24;200
200;69;237;188;56;190;131;16;100
200;153;173;123;31;170;130;22;93
200;250;123;155;2;96;175;17;74
50;250;176;200;42;21;250;17;70
50;111;203;98;81;120;201;33;126
0;11;250;12;141;217;109;33;230
200;128;194;101;72;18;250;18;65
200;250;164;106;48;79;250;52;55
0;61;250;214;79;78;164;43;201
50;19;250;174;24;113;250;22;25
200;114;188;94;80;72;250;23;101
150;47;163;41;189;250;76;13;204
200;250;122;75;115;99;217;35;106
200;100;101;51;93;105;226;56;112
150;181;202;160;98;76;173;42;198
150;106;217;109;151;161;119;37;228
200;194;156;153;117;68;250;34;149
150;250;154;222;81;90;238;27;113
