Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
50;250;53;96;176;92;228;31;141
50;250;46;16;96;119;191;77;134
50;119;112;44;164;250;118;16;164
150;8;133;22;51;18;250;158;99
0;25;250;102;14;62;250;13;0
50;39;232;60;59;39;250;16;32
50;250;103;152;117;48;250;15;142
50;92;224;84;3;88;250;196;17
100;250;15;29;247;201;155;17;133
0;3;250;99;68;45;250;33;52
50;58;250;102;24;62;250;77;0
150;250;56;82;220;105;250;42;143
150;108;250;150;212;176;178;23;250
200;250;79;128;219;127;248;24;163
200;75;250;95;21;60;250;44;7
150;244;104;102;233;80;250;39;173
150;3;144;51;112;176;174;34;97
200;250;15;50;212;94;250;30;132
200;250;17;48;203;94;250;25;133
