Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
0;44;189;30
0;65;168;25
150;89;250;45
0;250;53;17
0;122;250;140
0;112;250;25
100;68;250;17
200;88;250;35
0;121;250;158
0;121;250;156
0;250;77;47
0;51;182;27
200;92;250;16
0;85;250;14
0;12;250;16
0;40;250;15
0;80;212;30
0;93;223;23
0;117;189;18
0;90;250;27
0;67;250;21
0;142;137;36
0;165;188;24
0;104;250;11
150;101;250;27
200;90;250;49
0;46;250;32
0;110;202;37
0;91;250;54
0;81;250;21
150;80;250;18
200;98;250;40
0;126;250;20
0;0;250;50
0;101;250;19
