Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;208;108;176;34;7;250;206;76
200;92;37;218;31;16;250;243;108
0;8;104;214;67;56;206;227;106
100;0;0;0;0;0;0;0;0
50;250;105;243;220;0;84;138;140
100;250;127;116;30;28;250;240;63
150;6;250;197;187;33;221;215;238
50;89;150;184;116;95;120;235;141
150;22;250;175;186;35;216;143;242
150;250;62;196;94;107;99;237;119
100;0;0;0;0;0;0;0;0
200;250;99;123;44;23;250;215;78
150;0;0;0;0;0;0;0;0
100;0;0;0;0;0;0;0;0
200;0;0;0;0;0;0;0;0
150;28;231;243;192;95;145;200;239
200;14;250;234;196;29;166;100;250
200;250;227;0;17;22;250;177;13
200;0;250;242;196;28;163;0;250
