Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
0;53;158;56;153;139;158;9;187
150;250;52;189;79;14;250;121;122
50;181;250;250;9;50;250;37;0
150;56;200;54;149;250;87;57;210
50;75;250;129;80;97;75;107;225
150;250;190;212;88;122;223;52;132
150;250;24;38;147;250;83;18;133
150;72;139;60;38;205;63;31;133
100;0;250;68;49;198;109;66;110
0;25;211;144;77;146;92;36;181
150;175;126;108;93;82;91;43;176
200;131;230;128;195;121;91;156;231
250;108;250;150;78;208;99;55;163
100;250;100;148;89;57;250;21;119
150;8;247;165;202;58;250;60;221
150;117;191;181;195;78;206;61;220
50;250;61;134;50;11;243;88;94
150;181;250;186;100;89;147;134;218
150;67;192;99;78;206;152;58;68
50;250;55;124;78;65;250;93;103
50;250;54;160;82;34;250;129;125
150;189;234;180;110;165;154;109;175
200;250;36;212;4;9;250;164;107
200;167;222;245;194;41;250;65;229
150;250;46;54;30;8;250;21;103
150;169;250;82;163;167;142;72;243
50;219;126;128;76;140;220;39;100
200;169;226;165;96;28;142;22;225
100;136;65;41;97;21;123;42;95
200;250;139;200;75;123;210;27;59
100;250;19;21;239;0;250;20;134
50;250;89;128;186;34;213;59;153
0;250;46;84;79;62;250;28;111
150;186;73;66;85;71;224;53;121
250;250;71;116;190;139;106;139;129
200;250;23;156;5;27;250;125;114
200;250;15;145;14;29;250;126;118
150;250;87;102;149;45;250;122;145
200;250;62;116;69;47;250;48;95
200;92;101;45;246;20;163;35;167
200;122;170;148;76;237;108;46;128
150;178;136;101;52;73;186;112;104
200;250;144;194;134;162;187;64;153
200;125;182;125;82;28;79;134;200
50;250;56;94;66;80;184;62;114
150;250;53;99;85;42;224;109;124
150;158;118;84;182;80;146;32;180
200;250;250;250;36;56;250;38;0
200;250;136;197;37;50;250;15;61
150;250;16;156;24;31;250;135;117
0;119;56;62;104;30;250;15;114
150;183;250;183;211;54;199;32;250
150;114;205;126;84;44;80;68;209
200;64;228;109;74;104;175;36;162
0;197;250;160;213;68;188;9;250
0;250;99;110;18;40;250;16;76
200;250;16;50;1;25;250;30;117
200;250;10;54;56;50;217;41;123
100;0;227;22;72;37;104;77;205
50;42;250;86;25;78;250;53;0
0;50;249;59;90;0;151;161;234
150;158;197;133;87;68;210;60;84
