Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
50;14;171;80;80;147;171;12;124
0;11;189;65;82;105;215;14;142
150;250;74;111;53;80;211;13;105
0;172;83;71;48;96;147;12;116
50;250;250;250;9;37;250;15;0
0;39;129;145;223;44;241;27;186
50;250;59;33;86;36;250;53;115
50;81;201;85;5;28;250;17;25
50;3;97;64;202;38;250;65;169
0;117;227;50;180;76;250;89;225
200;250;57;84;79;31;250;13;106
200;250;19;39;110;32;250;15;122
200;250;14;39;107;32;250;21;123
150;0;151;164;233;47;250;37;191
50;142;125;139;227;31;247;34;185
0;44;250;158;145;68;250;14;200
