Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
100;3;54;242;13;39;250;204;99
200;250;4;238;149;92;159;240;125
200;44;123;218;106;70;166;153;74
150;83;179;191;114;38;250;234;132
100;169;79;216;144;37;250;235;129
150;178;106;152;14;15;250;237;73
150;250;94;162;53;32;250;233;81
150;242;45;215;145;41;250;237;127
150;250;71;166;107;37;250;236;130
200;236;88;174;21;12;250;237;81
200;125;74;217;180;27;250;237;145
0;133;250;0;239;250;57;239;250
50;214;112;182;9;39;250;142;70
200;250;67;178;67;35;250;224;110
200;250;24;209;247;105;57;234;129
150;250;16;209;244;102;57;225;128
100;25;93;235;141;45;250;229;144
50;28;250;218;234;238;60;237;250
100;33;46;234;10;111;97;217;103
