Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
50;250;148;135;184;60;250;240;183
150;250;56;161;113;88;154;208;136
100;0;0;0;0;0;0;0;0
50;103;250;135;50;35;250;241;26
150;250;65;127;229;229;65;182;157
150;250;12;234;175;250;57;237;130
200;250;224;10;228;250;56;234;234
150;0;0;0;0;0;0;0;0
100;250;123;117;125;74;205;238;143
200;250;71;167;242;163;76;238;154
200;250;77;160;238;238;60;237;157
200;250;28;210;235;170;74;238;137
200;250;15;205;210;200;67;218;128
150;25;229;240;144;71;217;71;179
150;250;85;154;237;250;56;239;168
200;0;0;0;0;0;0;0;0
150;86;250;105;71;38;250;238;88
200;0;0;0;0;0;0;0;0
150;0;0;0;0;0;0;0;0
200;0;0;0;0;0;0;0;0
200;0;0;0;0;0;0;0;0
200;0;0;0;0;0;0;0;0
200;0;0;0;0;0;0;0;0
200;0;0;0;0;0;0;0;0
100;0;0;0;0;0;0;0;0
200;0;0;0;0;0;0;0;0
100;0;0;0;0;0;0;0;0
200;250;18;206;18;137;114;199;117
200;250;16;220;44;133;118;205;118
