Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
150;67;233;124;155;56;250;229;215
100;11;186;194;199;64;250;219;194
50;250;182;193;198;138;122;143;209
50;50;250;224;31;41;250;220;0
50;178;198;203;109;94;176;234;137
0;0;250;241;27;0;250;223;0
50;3;250;229;36;40;250;219;0
200;250;243;12;159;61;225;227;234
100;6;250;186;38;35;250;72;0
50;36;169;186;193;63;250;217;183
150;11;231;113;172;60;241;224;231
200;33;238;156;190;73;239;219;214
200;250;21;186;177;64;250;200;132
0;39;207;212;203;71;243;235;219
150;8;155;228;18;41;250;193;50
150;0;183;211;121;58;250;219;131
0;3;124;238;96;42;250;205;109
150;3;250;213;78;45;250;215;84
150;175;198;138;205;77;225;215;203
50;8;219;174;193;176;92;237;226
200;108;239;182;183;65;250;224;212
