Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
100;34;250;118
0;50;165;156
200;35;250;70
200;17;137;161
0;10;250;230
200;36;221;157
200;47;176;205
100;44;198;116
200;30;227;138
0;25;120;232
200;68;121;207
100;250;47;238
200;93;101;210
100;30;119;216
0;16;234;232
250;147;101;216
100;26;158;232
250;44;170;228
200;40;176;210
100;131;115;164
0;11;250;219
200;36;147;173
200;30;215;159
250;88;148;125
0;8;250;235
0;14;234;207
0;24;250;150
250;152;95;182
100;51;139;183
