Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;25;82;238;79;0;250;238;112
50;6;215;158;95;30;250;215;126
50;250;250;0;13;19;250;228;0
50;8;250;206;204;13;151;233;250
200;64;200;130;184;15;250;218;193
150;0;207;181;111;39;164;192;184
150;47;195;188;170;51;86;180;221
50;106;218;173;109;64;149;243;197
150;22;199;95;179;20;250;225;190
50;0;250;233;40;35;250;143;0
150;153;250;136;179;30;159;234;250
