Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
200;0;239;227
100;31;197;173
100;28;172;159
0;15;250;228
250;79;146;188
100;21;171;159
200;43;80;236
250;72;147;173
0;24;250;232
0;0;250;224
0;22;250;146
100;79;143;195
250;59;78;224
200;65;144;163
200;69;142;152
250;29;250;165
200;47;146;176
200;88;139;157
200;42;159;166
200;51;157;196
100;85;106;199
200;58;137;218
100;81;142;146
0;41;197;224
100;45;110;176
200;44;157;204
250;46;160;221
0;0;250;231
0;12;167;171
