Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;250;219;83;45;25;250;215;29
100;250;95;214;232;17;250;143;171
150;3;40;236;240;15;250;224;143
100;6;39;236;240;14;250;225;142
50;75;250;61;11;24;250;235;0
100;142;233;128;78;85;180;221;114
0;175;186;93;93;76;188;213;141
0;169;250;98;97;72;195;223;165
150;161;250;98;81;77;187;223;134
0;33;211;195;63;47;171;222;48
0;33;210;200;64;37;169;221;48
150;28;191;222;67;31;160;225;55
0;19;206;188;64;47;174;221;46
0;8;231;167;5;12;250;168;9
0;47;193;217;68;111;155;224;56
200;192;250;91;83;76;186;222;138
