Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;250;156;68;3;19;250;224;47
200;94;83;224;100;19;250;233;120
150;97;250;123;114;31;134;144;250
50;11;250;165;68;23;126;207;241
150;22;146;217;157;25;127;228;196
200;3;126;222;133;101;170;230;122
100;11;104;237;68;0;202;217;121
150;31;250;24;26;23;250;233;0
150;44;227;211;100;0;250;232;120
150;247;171;82;55;28;250;227;54
150;250;112;124;85;20;250;236;91
150;250;191;72;6;10;250;198;30
150;250;167;42;3;9;250;198;42
100;6;232;95;42;34;250;217;19
150;64;139;213;71;0;250;214;112
0;6;175;219;164;112;155;209;167
50;6;250;213;177;69;203;33;250
200;250;34;212;247;0;250;178;141
150;219;250;54;5;10;250;223;0
100;50;246;204;246;46;159;73;248
