Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;250;250;0;8;250;250;0;0
100;28;48;236;237;11;250;213;149
0;83;197;194;130;63;214;213;192
100;8;120;196;64;79;197;230;107
0;22;250;180;22;45;250;204;0
150;19;250;188;118;53;198;179;250
150;206;177;138;71;41;184;126;48
50;47;221;169;25;18;250;222;20
100;250;102;196;178;11;250;203;164
50;31;250;162;151;123;119;178;250
100;36;231;199;100;98;152;228;151
50;50;244;152;22;34;250;236;5
100;11;181;237;82;46;112;228;187
0;17;209;234;102;0;140;228;195
50;6;222;80;35;81;205;224;44
150;17;225;109;79;48;127;228;192
