Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;250;28;166;247;115;136;194;139
200;250;16;171;245;116;135;187;133
200;250;87;96;214;247;59;183;168
200;250;18;137;226;250;55;153;134
0;3;94;211;122;9;250;242;124
0;56;99;185;152;41;250;219;154
50;250;165;61;210;225;63;226;207
200;250;128;100;246;160;97;228;189
200;250;26;240;249;78;201;236;138
200;67;141;121;235;225;67;236;195
0;3;165;182;28;56;250;234;45
100;117;132;223;158;37;250;230;148
100;111;137;231;158;36;250;228;149
200;250;15;123;241;230;66;137;133
200;250;12;123;240;230;66;134;131
50;61;102;226;151;34;250;229;136
50;36;43;241;244;39;250;237;146
