Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
100;3;204;153;120;87;220;29;166
200;19;171;27;195;133;105;28;211
200;86;70;30;73;103;99;32;126
150;17;250;22;218;227;73;156;250
50;8;162;37;105;74;123;26;89
200;219;146;67;17;50;250;18;52
200;250;103;148;2;34;242;11;73
200;250;122;250;2;11;250;90;64
0;17;183;158;195;66;244;26;206
200;250;11;46;179;13;250;33;127
200;250;173;215;176;57;244;29;209
100;58;167;48;75;45;250;35;121
50;14;201;28;188;86;109;30;217
0;39;229;45;72;97;151;22;143
100;47;250;102;110;118;145;107;214
0;3;239;90;33;127;132;24;106
200;250;44;60;28;37;240;5;103
200;250;17;46;45;25;240;25;117
0;11;165;191;169;35;250;30;161
100;122;131;117;83;85;215;69;104
200;161;250;234;72;87;229;20;98
