Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;250;119;105;214;42;250;44;180
200;114;221;122;140;145;132;159;225
200;250;144;199;37;14;242;107;53
200;250;192;214;76;97;202;53;153
200;0;161;9;102;241;127;21;85
250;53;198;178;32;65;203;12;99
150;250;108;163;78;64;250;20;113
200;183;250;250;59;97;231;16;120
200;0;250;125;50;179;131;32;75
150;200;140;120;58;102;180;21;83
200;211;94;83;73;41;179;69;91
100;58;250;159;158;57;250;29;238
200;14;143;9;132;250;118;51;116
200;53;144;41;130;250;87;29;105
250;83;151;140;68;160;125;32;139
200;250;131;179;159;64;250;16;168
150;250;15;178;159;51;250;158;130
200;250;54;167;231;34;250;118;152
150;17;143;93;240;32;161;58;194
50;250;155;250;3;28;250;45;48
200;250;244;219;171;84;250;15;210
200;250;167;166;131;48;242;210;165
0;206;173;151;91;112;124;89;182
150;250;120;145;136;110;177;30;145
200;78;250;250;10;47;250;14;0
200;250;216;55;206;141;117;52;226
250;250;189;119;23;81;250;48;31
200;119;250;134;111;242;105;20;185
200;247;101;102;38;73;148;63;90
100;125;148;88;163;112;191;214;196
150;250;208;250;33;97;204;18;99
50;0;250;227;34;87;196;46;103
250;0;161;35;48;127;81;13;149
150;11;198;14;137;186;104;12;213
150;6;250;250;36;105;196;60;86
0;25;250;173;63;165;134;28;131
100;250;242;250;23;55;250;107;7
50;250;126;140;18;17;192;25;68
150;94;196;36;154;250;97;63;208
200;250;144;145;118;132;216;16;152
150;81;119;46;110;126;203;142;120
200;6;146;23;218;167;92;71;181
150;44;194;35;110;250;97;37;136
150;3;250;129;87;162;122;17;179
150;0;222;75;68;250;110;23;93
200;92;250;250;5;55;250;22;0
50;214;217;189;158;127;210;130;216
200;14;250;130;128;127;178;125;250
0;0;223;67;76;232;127;29;99
200;19;159;37;55;162;123;26;128
50;19;196;40;71;250;83;20;100
100;0;150;18;128;250;81;84;103
200;72;92;72;113;77;98;19;168
200;200;250;250;23;93;250;59;0
200;250;99;79;133;96;250;20;134
200;250;176;250;4;38;250;105;37
150;81;168;143;220;59;250;81;199
200;103;170;107;175;87;188;106;165
200;208;165;163;22;24;250;89;64
200;50;250;92;199;67;216;32;250
200;250;136;168;9;21;245;56;60
50;250;61;139;73;61;134;69;144
150;0;215;30;125;191;106;200;196
200;83;120;80;47;50;170;34;144
200;61;162;46;97;76;129;25;72
200;250;14;61;108;103;126;65;121
200;117;145;88;69;133;150;64;124
250;3;180;135;34;29;188;26;111
200;250;35;179;6;20;250;133;108
100;3;250;21;55;1;250;215;32
