Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
50;0;250;81;168;98;235;45;238
150;33;164;51;75;66;250;36;121
150;250;97;97;76;172;146;18;121
0;31;162;54;74;64;250;35;120
50;64;130;54;86;41;250;16;88
100;3;47;28;27;44;244;15;104
100;250;5;18;55;0;250;14;123
0;0;130;74;82;39;250;6;85
200;250;6;12;12;20;250;16;122
0;117;156;72;99;44;250;20;105
50;22;250;250;8;33;250;14;0
100;250;102;122;191;43;250;40;171
100;250;57;22;240;22;250;90;153
