Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;150;189;167;248;250;71;16;218
200;250;18;139;237;250;56;116;134
200;233;103;115;26;124;197;34;98
0;250;138;82;120;113;250;14;132
150;250;78;157;132;110;250;54;146
50;8;250;24;3;80;250;234;0
100;247;250;250;228;135;206;24;250
0;3;250;70;98;79;250;18;122
150;250;28;54;244;250;70;17;134
150;250;42;53;179;125;250;14;138
50;250;61;94;51;48;250;13;105
100;94;240;18;45;182;83;16;138
50;250;40;53;31;250;118;15;107
200;250;182;93;231;250;57;16;216
