Nota Jogada de Chute ao Gol;Ângulo Livre Caminho;Distância da Bola ao Gol;Liberdade de Marcação do chutador
200;43;250;221
250;0;250;238
200;46;250;224
0;76;207;243
200;50;250;239
0;46;250;236
200;47;250;230
100;42;250;231
0;81;174;234
0;186;82;225
0;32;250;222
0;182;85;222
0;103;148;220
0;0;250;236
100;49;250;228
200;29;250;223
200;47;250;210
200;48;250;169
0;90;171;152
250;48;250;241
200;34;250;238
0;92;144;227
0;62;250;217
0;45;220;223
100;29;250;223
250;32;250;202
200;35;250;225
0;39;250;225
250;1;250;212
200;44;250;230
0;56;250;216
0;0;225;232
0;39;250;243
250;35;250;226
100;4;250;220
100;29;250;227
