Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
0;8;137;137;21;53;250;227;57
50;250;92;127;223;242;63;218;167
200;156;153;138;165;47;250;215;156
100;0;158;203;149;37;250;224;148
150;250;129;122;168;49;250;214;155
200;250;19;188;245;71;222;208;135
50;42;139;198;147;82;182;191;164
0;3;50;232;131;149;105;222;128
150;250;46;230;1;114;128;218;104
150;250;40;198;156;44;250;213;134
0;250;250;0;243;224;67;211;250
50;128;168;155;159;45;250;221;155
50;250;250;187;197;250;42;235;242
0;6;204;221;134;38;250;225;143
200;250;89;145;142;49;250;213;144
0;3;145;223;134;37;250;227;143
100;0;125;236;167;37;250;222;151
0;61;199;203;142;41;250;223;152
200;31;61;217;185;34;250;223;139
200;0;93;217;111;36;250;237;124
50;0;250;222;116;36;250;96;162
