Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;250;109;131;83;12;250;228;121
150;0;0;0;0;0;0;0;0
50;250;136;101;81;19;250;222;122
50;8;166;211;155;1;246;226;156
0;122;195;86;3;10;250;238;28
200;131;246;240;242;0;159;137;248
50;6;234;167;170;26;250;230;203
50;250;167;71;2;4;250;238;41
150;250;137;99;80;15;250;220;121
50;219;242;71;7;12;250;237;6
150;114;234;227;186;0;201;171;209
0;0;230;207;236;19;198;175;240
50;3;250;162;164;14;250;233;204
150;136;250;122;158;12;250;135;206
150;250;105;199;87;9;250;126;121
50;58;250;189;149;17;250;229;205
0;203;250;45;2;8;250;239;0
50;64;218;186;154;7;250;229;203
50;250;190;49;34;19;250;239;36
100;250;136;166;152;9;250;180;167
150;250;75;183;173;28;215;237;148
0;19;250;169;153;15;250;101;210
150;206;163;125;147;28;250;208;164
50;3;191;189;202;24;250;180;217
