Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
150;250;53;71;155;110;109;20;113
50;119;167;118;154;100;141;13;208
100;100;202;131;205;35;250;126;226
200;200;159;184;86;60;250;41;137
50;53;250;90;146;126;92;196;250
150;250;172;246;51;38;250;18;49
200;111;167;119;208;15;250;123;209
150;250;17;36;165;16;250;22;127
200;94;183;143;206;34;250;112;192
200;250;14;77;197;42;250;59;130
150;250;17;74;206;47;250;53;131
100;11;116;128;149;70;240;22;151
150;250;82;82;27;17;250;13;85
50;250;70;26;183;0;250;38;148
200;206;46;48;197;40;250;12;143
50;250;214;178;14;103;250;26;36
100;31;250;211;140;77;215;58;250
0;250;208;250;46;64;250;14;31
150;111;250;126;190;91;218;18;250
150;81;143;71;124;143;216;30;114
200;250;30;55;2;7;250;16;110
50;103;154;99;212;16;250;31;202
50;6;250;19;198;116;186;30;250
50;250;42;82;152;31;250;69;138
150;228;140;153;147;69;227;24;180
100;78;199;125;216;41;250;105;224
100;0;250;132;109;88;100;42;250
200;97;163;111;213;27;250;121;206
100;139;235;196;53;86;250;16;34
150;250;62;100;94;17;250;17;109
200;114;139;94;205;11;250;110;194
150;119;102;61;61;0;250;32;74
