Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;151;93;76;71;250;211;119;100
128;250;146;41;98;250;197;0;100
61;188;222;119;105;180;224;189;0
156;250;50;0;27;250;215;0;0
28;153;226;98;59;157;217;172;150
22;250;223;226;250;89;103;250;0
161;89;170;221;84;250;238;169;0
56;175;176;133;93;99;236;204;0
0;250;231;94;80;140;234;250;0
250;211;104;144;94;250;204;195;200
250;250;124;85;90;250;185;115;100
56;250;175;160;173;127;195;250;0
156;250;147;32;152;140;202;88;0
17;207;203;47;80;155;146;146;0
72;203;215;62;250;89;201;91;250
28;250;212;102;108;212;224;200;0
117;189;105;215;33;250;204;219;100
11;250;232;148;206;97;186;250;0
250;135;97;83;42;250;198;83;200
250;192;101;92;75;250;232;123;200
250;210;209;108;90;250;215;125;200
233;226;163;100;62;250;229;142;200
250;123;234;158;90;250;216;144;200
250;153;149;60;68;250;203;66;150
250;179;157;90;22;250;198;90;200
0;176;199;119;23;250;211;162;200
122;178;168;87;87;250;211;88;200
150;250;154;83;116;117;234;192;0
250;191;158;127;61;250;171;179;100
28;182;229;77;33;81;230;188;150
156;165;202;140;125;237;206;159;0
250;200;145;148;96;250;203;182;100
6;191;220;112;151;96;242;195;0
250;146;195;176;135;221;192;160;100
6;226;228;131;23;118;239;238;0
250;203;124;114;68;250;203;156;200
250;236;135;105;103;250;213;139;100
250;218;140;167;80;250;204;196;200
250;150;190;139;119;242;212;162;200
250;211;146;62;95;250;234;94;200
0;163;229;77;92;172;225;138;0
22;250;200;150;80;122;163;250;0
250;70;199;240;81;250;130;160;150
178;170;190;128;120;250;204;162;0
250;41;18;27;41;250;59;105;200
250;231;227;63;90;250;199;60;0
250;250;82;158;114;248;38;231;100
22;250;195;32;20;250;243;18;0
250;184;65;99;81;250;198;133;200
100;182;167;116;89;250;146;125;200
172;183;112;93;38;250;201;127;200
44;191;157;130;103;250;151;145;200
178;195;224;144;133;231;178;162;0
117;206;125;74;64;250;164;106;100
61;250;159;193;223;107;86;250;200
183;192;132;47;112;232;234;29;200
0;215;229;119;151;203;231;147;0
117;140;213;104;91;250;165;136;0
239;163;125;197;82;250;205;188;100
250;135;221;214;68;250;107;178;0
250;215;194;234;82;250;0;230;0
67;229;76;218;70;250;205;228;200
250;98;181;45;87;250;188;89;150
39;250;172;92;126;121;226;209;0
250;236;46;146;99;245;204;214;100
250;23;220;121;66;250;243;121;200
250;250;140;171;150;117;235;250;200
250;243;93;42;112;250;141;50;200
250;100;145;122;65;250;153;140;200
11;173;191;117;62;250;136;154;0
250;157;93;74;88;250;239;87;100
6;212;171;178;250;92;141;217;0
250;210;26;26;107;250;228;38;100
250;230;68;100;105;250;140;122;200
183;228;95;98;78;247;170;159;200
94;238;133;90;144;207;124;130;250
