Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;78;122;29;106;250;190;91;150
250;172;146;127;152;170;205;185;200
61;148;229;183;225;128;180;194;0
250;237;9;47;101;250;187;23;100
250;195;52;151;126;250;0;165;200
250;112;187;163;131;192;119;165;200
250;95;163;158;148;165;113;148;200
250;90;156;72;39;145;220;156;200
150;223;139;49;121;232;228;43;200
250;152;150;151;250;89;162;197;150
250;109;100;0;38;236;207;80;200
250;250;107;104;54;150;220;250;200
6;157;222;69;193;173;164;60;100
250;99;230;62;250;78;235;133;0
250;122;170;56;166;77;205;146;100
250;78;46;32;81;250;121;88;200
250;179;226;183;85;250;53;205;100
250;113;143;65;119;178;229;78;100
0;139;219;89;182;178;154;74;0
222;250;102;108;78;159;132;243;100
250;133;174;127;250;87;173;111;0
250;161;36;50;86;250;197;50;200
194;153;198;150;114;223;120;192;200
56;190;157;46;72;250;210;37;200
250;145;97;61;62;250;242;64;0
250;161;159;174;180;167;43;166;150
250;169;192;149;126;188;35;202;200
250;35;186;153;87;160;176;122;200
250;104;162;106;250;99;204;123;200
250;118;157;164;146;181;216;167;200
250;150;162;118;225;108;154;176;200
250;88;169;91;149;143;201;107;200
250;99;104;56;96;205;187;113;200
250;99;172;112;154;166;148;112;200
250;113;106;56;90;212;188;114;200
250;94;174;126;138;170;159;116;200
250;107;103;50;98;221;175;113;200
250;175;121;103;185;169;127;117;200
250;195;157;106;128;92;139;208;100
183;187;221;163;151;157;90;215;0
44;105;220;172;85;245;172;170;0
250;215;83;198;123;240;0;206;200
250;49;47;65;65;250;82;114;200
250;108;179;196;113;190;119;168;50
250;111;152;134;175;121;221;174;200
250;99;145;64;131;160;220;87;200
250;165;0;31;84;250;58;47;200
250;109;134;186;104;250;29;170;250
250;150;148;150;175;166;152;173;200
200;82;206;85;124;172;204;115;200
250;193;160;198;151;179;62;221;200
250;88;141;133;124;180;127;115;50
250;156;71;228;82;237;0;203;200
250;92;0;3;43;250;49;81;200
250;182;119;71;197;133;130;123;200
250;189;12;40;144;232;163;59;200
250;147;180;154;224;89;83;197;200
250;242;94;79;162;161;77;143;200
250;100;80;74;181;184;130;89;200
250;179;111;82;123;145;112;169;200
250;99;42;37;51;228;124;78;150
250;200;103;149;159;217;0;166;100
250;29;178;156;197;136;178;138;200
250;115;166;102;233;116;196;122;200
250;104;134;43;104;180;229;94;200
250;73;130;67;115;186;185;107;200
250;170;107;84;46;150;171;190;200
250;100;147;102;163;176;153;86;200
250;82;140;106;119;187;149;109;150
250;124;138;241;83;172;236;180;200
250;78;127;72;106;195;176;107;200
250;197;84;150;144;240;0;166;200
250;132;80;73;105;236;148;99;0
250;112;157;160;148;169;94;165;100
250;130;134;150;132;198;79;175;200
250;90;162;140;154;163;134;133;200
250;105;129;89;109;204;148;133;200
250;250;122;86;155;123;112;189;200
250;109;135;62;121;179;208;81;100
