Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
28;250;207;50;134;250;110;24;50
250;95;200;175;126;250;214;142;50
39;184;201;38;85;250;196;57;0
122;148;211;85;127;250;193;82;100
250;108;217;113;146;236;217;111;200
133;245;190;60;77;250;241;65;0
250;88;144;27;28;250;211;87;150
250;32;211;154;133;250;242;133;200
250;182;223;160;250;126;244;182;0
111;250;161;39;109;250;62;23;100
250;194;154;25;99;250;202;43;0
128;140;208;61;82;250;168;91;0
250;113;184;151;131;250;73;134;100
122;127;156;178;131;250;214;155;150
122;180;127;214;126;250;230;211;200
0;201;233;214;127;250;230;207;50
0;199;208;213;107;250;169;207;50
56;199;204;215;122;250;233;208;50
250;177;123;70;77;250;214;90;100
0;197;233;213;107;250;187;207;50
39;198;211;213;107;250;179;207;50
72;175;99;210;117;250;245;207;200
250;177;62;221;127;250;223;199;100
250;189;106;227;104;250;157;208;50
83;244;196;51;132;250;46;19;200
250;189;219;26;82;250;149;44;50
56;250;180;101;77;250;214;127;0
250;125;120;234;250;64;244;187;0
250;198;161;11;121;250;236;35;150
0;154;233;132;134;250;179;132;100
72;133;229;28;193;177;241;68;50
250;11;239;188;97;111;231;130;0
