Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
161;92;221;141;121;189;225;133;0
250;120;146;172;114;199;174;170;150
17;144;237;191;58;250;216;171;0
44;202;209;65;143;210;221;50;0
250;134;121;72;173;166;213;120;200
217;185;152;81;239;91;235;158;50
250;105;134;92;74;250;216;125;100
250;106;141;6;29;250;246;72;0
28;222;229;166;117;216;218;191;100
61;250;170;178;153;173;215;250;0
250;114;117;65;56;250;229;96;100
167;250;161;170;86;250;213;238;0
183;106;198;92;79;250;216;125;200
250;174;80;110;103;243;235;135;200
6;180;93;112;125;212;229;155;150
50;210;233;143;62;100;218;177;0
250;228;0;33;93;250;222;21;200
22;238;221;206;20;104;234;244;150
28;107;237;139;250;100;220;150;0
39;230;221;152;250;101;216;194;0
28;107;234;92;74;250;216;125;150
6;99;238;216;31;250;218;163;0
44;250;201;163;142;193;217;250;150
250;239;38;8;15;250;235;8;0
22;213;236;93;250;120;218;138;0
6;243;228;54;181;177;217;44;0
0;135;237;108;250;107;217;84;0
