Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;132;167;7;162;213;164;60;150
250;188;131;101;161;198;229;135;100
194;189;99;129;130;250;207;142;200
6;230;226;80;58;250;208;87;0
100;199;122;83;102;250;208;100;150
250;136;144;177;134;250;207;159;150
250;192;180;12;94;250;225;34;100
250;113;139;22;175;190;238;77;0
250;35;147;78;200;164;179;120;100
39;138;155;121;121;250;206;119;0
178;180;180;50;64;188;232;63;200
250;136;207;147;250;71;241;185;100
250;37;197;160;164;211;222;132;150
250;126;146;142;104;250;208;133;100
250;53;203;76;172;201;240;108;0
250;107;165;92;116;250;206;125;150
0;192;223;33;116;250;241;55;0
89;163;215;35;104;250;236;79;0
28;86;193;214;194;174;243;159;0
250;94;165;91;116;250;203;125;100
0;250;181;28;68;250;216;0;50
250;115;146;45;204;169;214;76;200
250;130;146;239;150;229;245;190;0
133;207;171;8;65;250;175;26;100
250;101;180;71;173;198;235;87;150
0;250;223;42;115;250;204;2;150
