Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
78;122;231;121;154;223;239;133;0
250;109;136;92;116;250;209;125;100
178;218;224;148;85;250;201;168;0
0;143;232;3;0;250;223;54;100
111;129;217;189;86;250;203;165;150
22;150;223;178;126;250;220;178;0
0;250;232;2;0;250;202;0;0
11;236;231;194;138;239;201;235;0
250;183;167;131;86;250;201;139;0
0;138;231;188;48;250;200;168;150
250;100;155;58;139;227;198;105;200
39;185;233;122;55;250;201;129;0
78;226;109;179;113;250;202;206;0
250;110;185;9;133;250;98;73;100
250;203;90;79;148;231;183;86;150
39;173;219;36;166;127;173;110;0
250;88;139;92;117;250;204;125;100
161;163;162;48;86;250;201;61;50
250;157;125;95;95;250;196;98;150
250;158;130;99;95;250;201;100;150
250;194;178;4;96;250;182;30;200
178;250;134;2;79;250;145;0;0
250;16;202;183;114;250;209;130;200
0;197;230;82;114;250;202;82;150
0;158;232;69;101;250;201;65;0
11;250;214;33;91;250;197;0;0
250;77;169;136;141;245;243;127;0
167;129;206;28;122;250;148;61;100
44;135;231;37;80;250;243;70;0
250;28;190;217;129;221;199;132;50
250;160;183;34;75;250;240;48;0
250;57;197;153;137;233;205;123;100
