Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;74;210;180;97;250;208;150;50
150;250;172;128;222;137;214;190;200
250;71;223;148;95;250;206;142;100
183;236;176;226;123;206;212;240;0
222;50;227;152;36;250;207;131;100
250;177;136;153;75;187;231;194;150
250;194;235;34;40;250;187;44;100
250;88;183;73;29;250;94;106;0
250;146;203;228;76;250;233;194;0
250;183;227;55;54;250;149;75;100
33;143;231;132;41;127;227;193;0
217;240;222;52;128;237;214;17;100
250;92;182;70;68;250;211;108;100
250;92;185;77;97;250;211;112;100
33;250;184;172;120;250;214;215;0
89;250;193;128;30;250;0;184;0
250;200;142;144;62;238;232;186;200
111;250;164;88;15;110;244;230;150
250;29;215;241;27;250;243;139;100
250;121;128;82;141;220;244;113;0
250;250;189;104;155;139;212;183;150
111;234;197;179;83;198;46;205;0
250;134;150;174;115;245;188;181;200
50;201;228;87;0;171;170;112;0
156;192;191;57;74;250;144;37;200
250;183;144;166;89;159;229;216;200
250;83;153;97;190;166;224;103;200
0;169;218;63;54;116;192;98;0
250;152;155;99;110;119;199;169;100
250;84;113;123;36;250;188;135;0
89;250;114;130;74;154;229;230;0
239;250;152;155;43;192;223;231;150
250;89;170;67;79;250;207;89;0
250;37;217;89;61;250;182;114;200
0;55;226;51;49;250;219;102;150
250;247;151;120;148;179;213;170;200
250;157;168;99;182;159;147;143;200
250;90;199;173;130;122;192;149;50
250;110;142;51;80;250;243;108;0
67;250;214;240;69;212;165;243;100
50;45;211;181;56;250;244;141;0
250;139;222;2;43;250;241;56;50
250;203;156;133;45;189;231;182;100
250;172;131;99;124;118;244;183;150
200;90;214;88;180;180;198;105;200
250;90;212;130;184;137;240;151;200
6;209;200;70;229;144;148;57;0
250;77;144;57;2;165;205;149;100
172;167;223;23;137;241;222;54;200
250;134;190;174;175;108;195;191;200
250;98;175;81;117;163;238;80;100
