Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
78;74;233;117;97;230;186;133;150
17;88;238;240;100;136;171;168;50
100;220;231;132;64;250;205;162;0
22;207;138;214;65;250;198;212;50
50;81;238;237;37;250;169;165;0
33;250;194;149;160;162;189;237;100
0;250;228;41;159;126;186;82;0
17;248;238;40;183;121;220;87;250
61;250;187;128;170;154;186;207;200
0;250;207;149;93;250;194;212;0
6;250;194;5;82;250;242;0;0
250;63;218;64;55;250;193;99;150
6;250;231;155;93;250;205;219;100
250;44;131;184;76;186;115;140;200
6;250;182;145;102;229;197;206;50
11;250;131;158;90;250;186;224;150
39;250;177;136;141;184;186;207;50
6;250;157;35;135;141;189;94;0
11;250;195;157;87;250;205;223;200
