Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
56;197;223;129;155;140;216;206;50
100;135;219;65;14;171;238;100;100
139;249;63;180;74;250;222;239;200
250;122;185;236;92;148;221;183;150
133;250;162;119;165;137;216;250;50
61;250;211;170;110;162;216;250;0
217;242;163;72;142;159;217;140;50
189;250;152;43;163;178;216;53;0
139;234;171;59;173;154;215;74;0
250;250;84;52;185;156;216;77;100
156;250;122;70;109;114;217;202;200
156;178;132;40;207;91;199;123;200
56;250;127;50;195;159;215;57;0
83;250;139;49;172;172;215;65;0
122;250;186;48;182;148;215;81;100
250;248;130;131;181;167;216;183;200
250;132;157;111;192;156;225;134;0
250;237;47;52;93;250;238;75;100
239;210;126;74;216;142;233;104;0
11;124;167;176;27;250;208;159;0
250;47;206;144;31;250;241;126;100
250;150;134;164;176;139;30;190;250
250;188;146;141;153;143;243;210;200
161;150;174;80;183;161;228;86;200
28;250;156;111;174;169;218;175;0
189;218;114;76;105;169;203;171;200
217;250;122;89;161;160;202;162;200
150;209;108;59;197;148;225;101;100
250;69;169;91;89;178;214;92;200
250;61;205;175;48;130;172;154;200
200;85;206;67;100;156;222;83;100
189;250;84;32;58;238;216;32;100
17;250;146;62;131;181;215;131;150
250;177;184;72;110;176;214;49;200
250;224;120;70;85;137;240;183;150
250;109;179;223;80;156;77;164;0
250;250;98;74;106;152;177;184;200
250;160;127;72;141;192;184;71;200
250;173;152;90;129;126;228;179;200
250;96;161;69;127;173;236;79;200
250;142;149;96;26;151;230;188;200
250;126;176;80;190;141;232;79;100
250;165;235;240;78;161;73;207;200
11;129;177;211;36;142;193;182;0
250;97;133;37;39;250;230;91;100
61;86;236;94;0;250;216;122;200
183;250;115;80;52;142;238;240;100
89;250;190;149;168;170;217;250;50
250;75;79;153;47;250;154;141;200
250;250;138;190;182;134;145;250;100
183;144;237;86;204;128;209;142;200
161;199;180;62;122;183;222;114;200
100;158;219;80;132;107;216;155;50
83;236;188;31;89;88;216;147;200
200;250;99;41;191;136;217;79;100
83;250;78;200;67;250;217;250;50
78;250;183;71;118;146;216;182;150
250;87;190;186;110;158;216;138;200
83;250;170;43;153;159;216;63;0
117;210;228;66;250;115;216;92;200
56;250;167;45;140;205;215;69;100
178;250;159;44;169;169;217;58;0
56;239;177;38;227;106;216;95;100
11;164;224;76;149;190;215;62;0
128;250;146;124;159;142;216;250;50
111;44;237;88;0;250;208;115;200
250;219;123;142;132;193;241;203;50
250;73;162;78;93;175;231;140;0
222;250;117;38;141;219;215;32;0
211;199;156;51;137;194;206;55;0
