Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
94;250;197;181;106;117;180;250;0
250;203;49;23;37;250;237;43;100
22;228;203;206;130;132;137;239;200
111;249;143;60;57;183;178;64;250
83;206;172;200;68;209;158;219;200
0;250;163;58;47;250;120;48;0
250;157;154;97;67;245;166;131;100
250;108;164;114;167;92;240;155;0
17;128;182;110;238;77;219;111;0
0;179;208;78;123;168;208;70;0
250;98;141;43;173;124;223;120;250
250;29;149;81;109;117;178;129;150
11;157;191;96;250;106;211;100;150
11;103;216;52;56;250;221;91;0
6;188;104;136;63;250;211;149;100
250;152;138;165;53;250;81;186;200
250;184;96;40;31;250;212;42;0
89;247;168;109;56;250;76;148;100
0;195;179;77;250;125;211;100;0
189;218;147;47;208;139;204;83;250
122;216;202;93;97;163;116;133;0
67;250;189;31;115;222;211;66;100
6;95;212;25;30;250;221;79;0
250;191;143;56;66;222;234;115;200
72;190;155;32;51;250;227;49;150
6;236;148;137;135;120;205;189;200
78;203;98;40;70;222;203;87;250
250;213;110;185;52;250;140;198;200
250;198;164;146;156;90;74;221;200
67;147;195;47;137;97;169;125;250
250;103;163;190;74;161;97;171;250
39;110;221;221;142;97;241;174;0
178;250;133;31;19;250;152;8;150
0;183;106;47;172;176;230;77;200
178;250;113;102;76;158;123;203;0
250;215;144;89;76;232;99;107;100
217;238;162;166;158;91;232;244;200
250;246;138;25;49;250;208;11;200
39;233;114;69;113;148;152;94;0
250;228;76;128;53;179;111;230;100
206;250;38;34;113;250;212;15;200
61;191;216;104;77;202;142;160;100
250;172;76;84;52;250;242;92;200
117;183;152;111;65;240;160;164;200
228;211;166;129;187;90;169;182;150
22;123;188;153;250;96;211;128;0
6;154;135;150;63;225;211;151;100
0;237;128;42;246;107;211;91;0
