Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
6;250;235;167;250;109;215;250;0
44;153;233;248;14;125;243;194;200
250;212;212;41;102;250;241;55;200
250;6;214;161;66;250;216;127;100
0;244;167;80;55;101;241;190;0
0;250;172;135;138;100;144;250;0
250;214;85;13;41;250;233;29;100
250;250;35;31;73;250;197;0;200
250;57;151;157;13;250;117;138;150
122;250;185;214;250;82;230;250;200
0;195;228;41;109;131;226;134;0
250;152;94;76;55;250;209;119;150
11;171;198;85;97;195;238;156;0
0;231;223;168;104;127;138;229;0
17;228;176;97;12;157;232;214;0
250;159;199;188;54;250;128;200;50
0;169;231;139;149;114;224;191;0
61;158;168;99;94;145;235;180;0
17;250;233;186;89;129;76;250;0
0;250;220;193;183;164;158;250;0
0;250;27;5;63;250;242;0;100
250;21;228;170;96;250;221;132;200
250;188;161;73;47;111;215;165;150
