Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;35;216;63;125;250;209;114;150
217;125;203;204;86;250;208;171;150
250;190;125;229;105;250;208;210;50
0;163;222;94;101;250;206;94;200
17;177;155;87;237;146;206;91;50
0;250;169;47;132;250;206;30;150
250;103;183;118;208;122;242;157;150
250;109;166;129;164;212;242;125;0
250;71;190;127;174;157;187;148;100
250;215;237;58;155;224;241;45;150
0;250;177;45;119;250;208;10;200
250;216;150;187;104;250;208;201;150
217;148;189;190;88;250;208;173;150
