Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
22;250;226;32;81;250;209;0;0
250;203;34;247;250;71;237;226;0
250;74;169;188;250;101;217;137;150
250;110;138;204;250;132;233;177;50
250;64;187;194;250;28;241;152;200
206;67;223;6;179;110;202;104;150
250;167;209;210;163;139;235;207;50
250;58;206;13;93;250;228;96;150
250;224;0;226;250;103;217;237;100
250;80;149;30;101;250;84;90;200
250;250;0;246;250;71;243;250;150
239;158;209;2;149;202;191;56;0
33;67;214;209;123;158;235;156;50
250;50;196;243;250;70;240;149;150
