Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;104;146;101;50;250;239;119;0
33;193;227;25;102;250;238;44;100
250;164;161;27;45;250;198;58;100
250;115;147;34;109;250;183;82;200
250;173;215;112;250;88;240;163;150
250;62;191;235;250;84;185;151;200
250;169;183;44;162;209;213;66;100
250;216;218;2;135;242;121;22;100
250;16;213;120;196;172;223;127;150
56;139;232;29;150;232;223;61;100
250;64;214;37;142;243;204;98;100
89;237;211;42;121;250;181;45;200
250;208;230;19;125;250;220;21;100
250;18;206;47;250;106;216;117;100
6;221;202;57;170;202;210;32;200
250;147;195;39;160;215;185;65;100
250;83;171;3;250;123;158;84;200
250;29;175;239;250;66;176;139;150
6;250;200;60;92;250;206;49;100
0;250;240;67;44;250;52;64;200
250;170;87;208;79;250;245;198;100
250;168;169;29;91;250;219;52;150
250;78;225;38;218;93;210;121;0
222;146;169;164;152;225;217;169;150
