Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
6;167;140;13;124;250;218;49;0
200;178;124;129;97;250;234;145;0
250;66;185;101;115;250;231;122;150
217;140;198;6;152;203;151;61;0
11;179;199;120;90;250;212;126;0
17;243;106;57;146;236;213;43;100
28;107;212;100;91;250;212;101;150
0;197;111;82;134;250;213;84;150
11;166;225;39;18;250;218;53;0
39;225;220;22;99;250;222;22;0
6;250;14;177;227;150;212;228;100
17;250;94;186;123;250;212;228;100
39;250;227;41;126;250;244;33;0
250;124;222;29;250;74;238;112;150
250;42;201;249;250;83;226;141;200
250;103;154;25;198;174;234;75;200
250;47;212;64;107;250;175;106;50
250;164;176;14;48;250;215;45;150
0;196;90;151;130;250;214;166;0
0;124;168;185;104;250;237;171;0
161;143;190;12;72;250;224;54;100
6;213;115;61;155;223;212;43;150
250;56;155;188;250;28;195;148;50
250;150;95;244;193;155;239;186;150
0;166;226;1;0;250;221;42;0
11;242;96;56;155;222;212;43;100
17;245;97;56;154;223;211;42;50
250;128;166;40;102;250;239;77;200
133;118;219;86;99;250;181;109;0
250;104;152;171;130;250;225;158;100
0;165;236;39;0;139;200;130;0
