Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
161;171;184;4;32;250;244;40;0
250;85;187;146;109;250;205;131;150
250;140;150;123;79;250;209;131;150
200;250;159;159;105;250;188;207;0
211;250;161;166;107;250;164;206;150
0;218;233;131;149;168;203;165;0
11;196;237;195;173;177;186;216;0
250;64;203;69;58;250;150;106;0
250;117;128;8;60;250;245;67;200
22;124;176;97;41;250;229;111;50
250;238;200;50;72;250;243;40;0
250;93;161;178;86;250;229;157;50
250;129;152;151;79;250;234;150;150
6;175;219;205;120;250;235;197;50
250;104;192;248;115;250;204;177;150
250;92;145;88;57;250;209;120;200
250;39;179;41;66;250;216;107;200
200;29;235;219;68;250;227;139;200
250;24;226;212;60;250;236;135;100
250;72;178;158;80;250;241;141;150
250;62;141;32;37;250;191;95;200
250;89;228;231;0;250;154;169;100
33;107;159;202;92;250;234;174;0
250;29;183;40;73;250;212;112;100
250;249;221;117;76;250;226;143;0
250;30;196;21;44;250;226;111;200
250;55;177;119;71;250;226;122;200
83;139;222;209;112;246;170;192;0
250;93;134;50;60;250;116;87;200
167;170;199;188;53;250;164;199;200
250;57;184;24;66;250;241;98;100
28;167;239;148;0;190;230;181;0
250;203;151;145;104;250;204;166;100
