Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;145;203;52;133;239;240;91;0
250;41;204;228;185;182;243;146;200
250;30;237;11;155;218;211;111;200
250;62;172;198;223;155;228;149;200
6;88;198;122;138;242;221;136;100
250;34;164;231;245;140;156;141;200
250;172;196;88;143;222;233;123;150
211;222;170;92;124;250;52;107;150
33;250;132;54;144;241;208;34;50
0;250;157;43;114;250;207;2;100
250;21;49;70;250;93;42;121;150
78;250;81;36;122;250;243;0;0
250;174;181;14;140;215;200;58;200
250;93;178;94;154;220;175;118;150
28;89;186;91;116;250;225;125;0
100;230;204;70;86;250;80;58;0
0;206;205;134;85;250;111;148;0
250;118;135;76;84;250;239;102;0
0;250;136;51;135;250;208;27;200
250;37;207;245;185;187;243;144;200
61;184;205;121;4;250;146;128;150
89;184;220;111;87;250;100;116;200
44;95;211;183;102;250;228;164;150
