Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;108;182;92;13;250;156;125;100
250;118;208;112;117;219;214;129;200
28;130;211;115;250;106;192;90;150
194;218;151;65;245;123;193;99;200
122;189;205;86;132;99;174;106;0
250;114;123;135;99;242;116;123;150
250;134;121;114;104;246;124;110;150
106;222;181;62;237;129;179;95;0
0;249;184;63;152;214;171;74;0
0;219;196;68;138;239;151;84;0
6;250;98;118;60;250;181;166;0
183;182;182;132;55;250;147;144;0
250;92;139;127;44;229;130;144;200
100;107;214;105;250;120;201;88;200
250;146;106;71;166;197;195;90;200
250;145;153;93;210;103;192;162;200
39;243;183;52;131;140;178;67;0
0;250;181;76;123;189;149;126;0
6;188;206;109;140;100;160;134;0
250;25;219;17;64;138;214;113;200
250;98;121;72;110;250;132;108;200
250;94;188;96;113;250;120;108;200
250;150;160;169;150;207;189;188;200
94;156;210;86;151;215;155;117;200
250;94;178;86;68;194;167;112;200
250;97;163;90;115;198;162;119;200
250;83;176;70;175;192;174;107;200
250;83;183;90;177;189;170;118;200
250;85;169;116;123;190;162;131;200
250;119;189;152;123;107;158;182;250
139;218;165;144;250;101;224;182;200
11;138;147;105;250;118;230;78;0
228;176;188;176;250;87;227;187;200
0;176;150;77;224;91;234;158;0
250;136;147;112;182;150;231;158;100
111;237;104;50;240;128;226;75;150
94;116;203;161;250;87;223;177;0
6;114;190;131;250;106;195;104;0
