Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
56;207;209;131;133;160;215;200;0
11;250;235;234;148;104;160;250;0
6;242;225;97;65;129;201;226;200
94;250;185;21;79;250;232;17;200
39;195;216;70;144;184;189;62;250
28;241;238;177;5;150;131;225;0
250;217;72;26;52;250;207;30;100
83;235;164;37;54;250;222;34;100
11;250;189;186;200;79;187;246;0
33;250;93;78;124;247;186;105;200
0;250;220;49;89;161;186;128;0
156;250;174;138;15;128;192;250;0
0;163;212;225;180;78;155;197;150
6;250;155;41;99;162;186;114;0
11;249;235;52;0;206;99;29;100
0;156;214;89;111;189;191;83;0
22;250;233;133;177;146;186;217;0
22;201;231;62;55;87;97;92;0
67;249;191;149;225;101;168;231;0
250;51;158;27;47;250;173;104;100
0;250;232;135;0;129;178;226;0
250;210;50;39;63;250;231;25;100
83;242;190;151;239;94;150;238;0
250;178;0;2;35;250;158;36;100
11;234;231;219;190;88;190;221;0
0;235;142;9;94;250;221;23;0
0;250;205;183;249;100;193;250;100
161;167;203;75;75;174;103;52;250
89;250;198;154;126;195;221;235;50
250;217;78;18;48;250;229;38;200
0;250;157;20;61;250;212;0;0
106;245;202;211;132;130;133;244;100
11;241;150;118;113;181;228;206;0
0;250;174;3;41;250;226;0;0
83;212;235;234;130;110;190;214;100
72;232;123;41;63;250;232;64;200
183;136;197;8;137;177;229;77;0
0;250;218;129;87;129;228;250;200
189;250;178;20;89;250;223;17;200
6;227;238;204;0;143;187;214;0
39;250;201;128;167;112;201;240;0
61;204;216;127;233;96;222;207;50
194;141;206;118;209;120;207;123;200
250;123;192;63;55;215;230;116;100
6;219;193;24;106;169;185;77;0
250;231;134;118;81;123;211;233;100
28;215;220;212;187;99;190;209;0
250;178;190;72;61;179;118;48;250
0;218;234;65;180;109;223;142;50
6;245;206;219;130;115;180;241;0
