Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;91;188;144;43;250;208;129;0
228;140;149;166;42;250;204;154;0
61;119;216;85;78;136;236;166;0
250;91;180;126;44;250;208;119;0
250;192;210;200;154;112;200;220;200
222;146;194;1;11;250;189;58;100
222;248;192;186;65;250;184;216;0
0;85;228;75;42;250;223;108;0
189;250;118;88;118;196;231;180;100
17;192;210;75;177;175;236;111;0
250;91;217;142;45;250;155;140;0
0;79;191;177;38;250;230;144;0
