Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;50;216;108;156;222;210;118;50
250;231;116;52;121;250;243;25;200
39;250;188;236;250;66;242;250;0
11;135;236;176;112;250;243;173;0
250;152;235;33;130;250;242;54;150
250;31;210;240;250;71;232;140;200
250;19;208;238;250;71;222;135;200
250;9;199;204;250;68;207;128;200
0;159;226;149;63;250;185;149;0
250;250;0;187;250;80;241;250;200
250;113;218;78;191;159;208;122;150
22;250;232;0;69;250;142;0;150
250;85;182;6;216;160;140;83;150
250;150;209;59;134;250;214;63;150
250;9;210;49;250;83;209;124;200
