Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
250;86;157;92;73;250;214;122;150
0;250;235;120;162;125;235;247;0
122;204;200;159;87;219;143;211;0
150;86;217;245;53;250;187;168;150
250;140;161;34;65;250;230;64;50
250;223;30;30;81;250;174;22;50
0;105;235;128;145;114;159;165;0
250;226;65;16;26;250;214;13;200
250;127;236;238;94;147;110;183;100
117;250;135;72;84;178;201;116;0
250;95;167;130;58;250;189;129;0
250;34;239;220;0;250;206;142;50
50;220;173;54;250;106;201;83;0
250;189;138;98;103;141;198;158;0
0;250;228;162;83;197;202;250;0
72;250;186;234;188;129;240;250;0
167;187;176;66;121;148;234;105;250
250;22;150;6;5;250;172;114;150
250;209;231;217;44;127;183;229;200
250;210;149;1;24;250;242;20;150
250;150;198;136;117;193;231;162;150
250;99;177;213;238;126;167;173;0
250;89;159;127;80;250;236;114;0
250;83;170;29;8;250;231;95;0
250;46;208;12;33;250;236;102;0
