Freedom of the Path;Distance of the Pass;Freedom of Receiver;Redirect Angle;Receiver Free Angle for Goal Shooting;Receiver to Goal Distance;Freedom of the Passer;Delta Xis;Score of the Passing Move
22;241;230;35;73;250;240;33;0
250;80;239;44;170;202;241;94;200
0;200;215;29;100;250;238;43;50
250;184;236;208;171;189;207;216;0
78;152;197;21;98;250;226;55;100
228;169;212;3;113;250;145;40;150
250;79;239;94;144;111;197;152;100
17;199;134;213;106;250;213;207;0
250;192;198;217;121;250;237;206;100
106;143;231;2;135;225;193;56;0
250;184;224;6;153;221;204;34;50
11;250;64;41;114;250;212;23;0
250;250;229;174;30;190;216;250;0
250;250;0;228;250;62;243;250;150
250;83;199;64;250;83;154;106;200
167;129;218;19;186;183;241;67;200
250;86;238;225;250;100;217;167;150
0;232;237;35;84;250;242;39;0
139;167;184;221;130;250;240;198;50
250;115;134;145;129;250;238;130;200
250;94;197;112;129;250;242;125;150
250;222;129;181;108;250;217;207;100
250;82;227;62;170;195;234;88;150
106;96;210;28;10;250;215;86;100
250;101;219;68;119;250;233;106;50
6;250;237;55;86;250;235;46;0
6;231;238;40;120;250;243;45;50
250;36;221;206;250;76;205;143;200
250;7;230;189;250;83;238;129;200
33;250;54;39;109;250;213;22;0
11;197;233;24;105;250;240;44;0
