Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
50;25;250;54;37;65;250;31;0
100;106;119;79;8;81;159;25;70
50;44;245;51;106;166;117;15;203
200;250;109;141;17;117;237;23;71
200;250;117;169;27;89;250;32;67
200;89;98;69;237;110;250;51;174
150;250;106;143;99;116;250;18;125
100;69;250;152;247;250;73;146;245
50;250;202;233;210;90;250;11;226
150;28;80;10;220;73;250;101;165
0;0;248;48;154;84;250;33;183
50;8;183;76;123;69;250;32;148
200;139;250;105;8;73;250;36;0
200;250;82;41;190;44;250;140;151
200;250;51;92;20;86;250;92;103
100;250;56;97;235;107;250;34;151
0;64;250;250;107;87;250;34;177
200;250;144;198;80;87;250;19;117
200;250;150;144;107;104;250;40;114
200;250;165;197;108;101;250;36;149
200;178;164;122;117;125;250;171;133
100;244;125;134;29;107;250;14;72
150;250;114;148;83;90;250;20;116
50;250;217;89;193;249;126;96;216
150;206;107;95;106;87;250;39;131
100;250;50;65;30;250;111;82;100
200;100;141;65;86;96;250;42;130
250;131;199;127;73;67;250;19;79
200;25;250;36;54;67;250;39;47
200;69;133;51;47;60;250;38;84
200;250;52;62;223;68;250;34;151
200;250;44;64;147;22;250;12;126
200;250;101;123;133;80;250;53;131
150;250;78;127;71;71;250;94;106
200;250;51;55;57;81;250;39;110
200;114;157;79;7;107;250;48;51
100;36;93;21;156;123;250;113;143
200;250;58;99;225;82;250;25;149
150;250;55;67;63;69;250;25;114
50;31;250;62;249;250;117;15;250
200;36;138;107;16;66;250;10;56
200;250;30;220;189;247;75;192;140
150;122;204;177;21;35;250;16;23
50;6;220;66;199;100;250;17;231
50;156;250;183;94;101;250;36;125
200;133;250;119;19;70;250;153;0
200;250;53;152;248;83;250;111;150
200;250;58;64;18;68;250;37;102
150;192;57;64;230;81;250;19;153
100;250;155;157;13;63;250;31;58
200;206;100;104;232;205;144;47;166
200;250;160;124;12;94;250;110;46
200;250;60;132;167;38;250;134;150
50;161;250;217;246;244;117;55;245
150;153;123;125;21;77;250;8;77
50;47;157;173;52;85;250;37;47
100;8;95;86;137;128;246;41;125
200;111;250;134;97;95;250;38;122
150;250;57;112;76;88;250;37;124
