Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
200;250;162;250;76;63;250;182;122
0;0;207;42;135;120;196;74;160
200;119;211;211;51;98;205;19;122
50;250;117;158;81;83;202;15;146
150;250;219;75;182;52;222;229;225
200;250;234;250;2;36;250;16;8
200;133;112;92;200;36;250;73;172
200;106;162;100;124;80;240;136;172
150;36;130;106;81;68;250;42;86
150;31;250;161;20;39;250;18;27
50;250;194;53;9;46;250;19;30
50;250;113;36;39;82;206;35;103
150;64;157;73;166;164;68;27;202
100;0;250;43;83;149;98;19;197
50;3;250;14;138;65;250;65;221
0;250;108;40;34;39;250;16;71
0;11;210;27;71;136;202;21;107
200;56;211;115;65;104;235;12;109
200;44;134;41;122;109;197;103;119
100;250;158;161;20;50;250;16;63
