Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
150;3;73;52;204;78;146;31;159
0;0;195;12;132;133;179;33;175
50;28;170;82;214;42;241;33;209
0;0;250;60;140;52;131;47;250
100;8;37;18;194;51;250;16;143
150;250;90;135;30;54;250;16;81
150;86;131;90;196;44;250;49;182
150;119;250;222;183;69;250;43;237
150;167;104;34;83;27;250;56;104
50;0;138;11;98;45;250;55;126
