Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
50;0;171;44;8;62;250;16;41
50;8;123;67;48;65;250;17;83
150;125;95;80;75;69;250;49;93
200;0;0;0;0;0;0;0;0
200;125;9;15;19;250;63;27;120
50;72;199;74;124;79;250;42;140
150;75;133;46;79;76;250;23;101
50;75;164;55;150;89;250;42;166
0;47;201;87;11;46;250;52;28
50;89;104;91;145;74;250;21;143
50;117;178;118;239;250;57;16;214
200;17;86;10;66;215;147;39;95
150;125;14;10;72;214;148;19;121
200;125;250;68;50;103;250;39;28
200;125;5;19;247;144;217;12;128
200;100;250;37;34;48;250;101;2
100;17;237;39;41;81;250;19;28
150;58;82;8;154;65;250;25;133
200;125;116;77;216;84;250;20;171
200;125;19;39;216;84;250;17;133
