Nota Jogada de passe;Ângulo Livre Caminho;Distância do Passe;Liberdade de Marcação do Receptor;Ângulo de Redirect;Ângulo Livre Para Chute Receptor;Distância do Receptor ao Gol;Liberdade de Marcação do Passador;Delta Xis
0;250;65;60;175;119;250;16;145
200;72;102;31;206;222;117;15;176
50;181;64;52;102;81;250;56;113
200;197;137;114;18;63;250;58;65
150;211;87;79;179;84;250;18;150
200;250;93;31;159;66;250;149;137
50;33;250;82;16;41;250;78;0
150;250;134;61;6;81;250;39;62
200;6;156;20;78;74;250;35;73
150;250;135;47;129;250;62;16;102
200;50;70;63;138;98;250;33;119
0;197;93;88;54;70;250;53;93
150;250;108;95;86;86;250;43;97
100;150;165;112;50;44;250;12;75
0;0;105;78;90;95;250;36;99
100;250;76;66;38;240;119;16;102
50;250;67;102;96;85;250;14;121
0;6;220;9;85;73;250;28;79
200;250;77;107;165;94;250;14;144
200;233;186;187;40;70;250;21;69
150;11;159;10;9;69;250;159;49
0;3;211;23;119;74;250;34;127
50;250;70;118;162;87;250;26;149
150;58;227;131;7;77;250;42;23
50;250;103;136;242;89;250;26;173
200;250;171;197;210;108;250;29;198
